County,State,Infant_Mortality,Suicide,Injury,Total_Births,Total_Deaths
Morton,ND,8.5,10.1,20.2,3019,2217
Mountrail,ND,15.7,14.6,33.6,922,929
Nelson,ND,,-1111.1,27.9,277,758
Oliver,ND,,-1111.1,-1111.1,156,120
Pembina,ND,9.2,19.6,19,846,992
Pierce,ND,11.6,-1111.1,22,476,700
Ramsey,ND,9.6,16.8,27.9,1513,1600
Ransom,ND,1.8,-1111.1,15.3,621,941
Renville,ND,,-1111.1,-1111.1,231,334
Richland,ND,5.4,9.4,16.4,2074,1638
Rolette,ND,13.2,19.1,29.1,2798,1166
Sargent,ND,,-1111.1,23.4,477,419
Sheridan,ND,,-1111.1,-1111.1,108,183
Sioux,ND,14.2,46.7,81.3,918,298
Slope,ND,,-1111.1,-1111.1,82,35
Stark,ND,8.4,13.4,19.8,2695,2008
Steele,ND,,-1111.1,-1111.1,197,239
Stutsman,ND,5.6,15.4,18.6,2200,2333
Towner,ND,,-1111.1,-1111.1,244,428
Traill,ND,15,-1111.1,18.8,895,1129
Walsh,ND,4.7,10.1,17.6,1423,1695
Ward,ND,7.8,11.3,15.4,4365,2469
Wells,ND,,-1111.1,22.7,408,844
Williams,ND,5.8,12.6,20.5,2339,2099
Adams,OH,5.1,20.9,25.4,1949,1508
Allen,OH,10.1,6.6,11.4,4549,3290
Ashland,OH,5.5,10.8,16.7,3434,2493
Ashtabula,OH,8.5,8.7,22.7,3753,3228
Athens,OH,8.1,11.1,25.8,3196,2417
Auglaize,OH,6.5,6.7,20.7,2919,2334
Belmont,OH,8.3,12.9,21.8,3494,4672
Brown,OH,8.4,11.8,27.9,2866,1962
Butler,OH,8.2,12.5,19.8,14141,8256
Carroll,OH,3.7,10.5,22.2,1623,1296
Champaign,OH,7.9,11.6,19.4,2537,1896
Clark,OH,8.2,14.4,25.5,5469,5016
Clermont,OH,3.8,13.9,16.8,8068,3937
Clinton,OH,4.4,8.7,26.7,2923,1845
Columbiana,OH,8.5,11.8,19.9,3884,3638
Coshocton,OH,4.7,15,21.8,2354,1976
Crawford,OH,10.9,10,21.5,2947,2574
Cuyahoga,OH,9.1,10.4,18.8,52896,45286
Darke,OH,3.9,11.3,18.1,3353,2808
Defiance,OH,6,5,21.3,2663,1669
Delaware,OH,6.3,8.2,13.8,9320,3258
Erie,OH,7.1,8.5,15.7,4677,4112
Fairfield,OH,7.8,8.3,14.8,4878,3063
Fayette,OH,2.7,13.8,20.5,1854,1702
Franklin,OH,8.5,9,21.2,51524,25008
Fulton,OH,3.6,9.4,18.9,2799,1814
Gallia,OH,13.1,11.4,24,1991,1620
Geauga,OH,5.2,7,12.4,5600,3327
Greene,OH,5.1,11.5,24.1,5248,3457
Guernsey,OH,5,15,24.1,2622,2153
Hamilton,OH,10,9.7,22,35448,24890
Hancock,OH,8.2,9.4,15.8,4643,3067
Hardin,OH,5.6,8.7,19.6,1970,1542
Harrison,OH,10.8,12.9,13.6,1731,2063
Henry,OH,7.3,9.2,18.3,1923,1378
Highland,OH,8.2,10.4,23.3,3045,2237
Hocking,OH,6.7,13.2,24.3,1803,1443
Holmes,OH,7.3,5.8,21.9,4373,1375
Huron,OH,5.8,11.3,18.2,4296,2639
Jackson,OH,7.4,11.1,19.2,2176,1810
Jefferson,OH,8.1,11.7,29,3716,5106
Knox,OH,4.5,6.9,22.2,3572,2722
Lake,OH,5.8,11.4,13.2,7773,6477
Lawrence,OH,8.9,10.6,26.1,3808,3694
Licking,OH,8,9.7,18.1,6030,3935
Logan,OH,9.1,8,26.5,3174,2305
Lorain,OH,7.5,9.4,18.2,10884,7707
Lucas,OH,9.2,12,19.7,19009,13437
Madison,OH,9.1,11.6,19,2535,1792
Mahoning,OH,9.2,11.2,15.6,8248,9288
Marion,OH,6.7,12,19.9,4039,3269
Medina,OH,5.1,6.9,14.9,6137,3345
Meigs,OH,4.8,14.7,20.9,2736,2638
Mercer,OH,5.6,5.8,20.3,2833,1813
Miami,OH,4.6,10.2,21.7,6353,4550
Monroe,OH,6.3,9.8,29.8,1588,1785
Montgomery,OH,8.1,11.7,40,22068,16729
Morgan,OH,8.9,11.8,21.5,1766,1659
Morrow,OH,7.9,-1111.1,17.8,2036,1290
Muskingum,OH,8.5,12.7,17.8,5439,4335
Noble,OH,2.5,8.6,24.3,1351,1138
Ottawa,OH,5.6,14,20.4,2132,2209
Paulding,OH,7,7.5,18.9,2547,1760
Perry,OH,10.6,9.5,16.4,2366,1609
Pickaway,OH,9.3,8.5,20.2,3004,2236
Pike,OH,6.1,13.1,26.3,1792,1550
Portage,OH,4.9,9.6,19.6,4919,3436
Preble,OH,2.8,6.6,25.4,2513,1887
Putnam,OH,6.3,7.1,18.3,2398,1460
Richland,OH,7.9,12,22.2,4780,3694
Ross,OH,5.6,12.2,22.1,4491,3668
Sandusky,OH,7.3,9.6,20,4258,3106
Scioto,OH,9.2,12.5,31.8,5130,4910
Seneca,OH,7.2,9.6,15.3,3616,2768
Shelby,OH,6.4,11.6,16,3748,2088
Stark,OH,7.9,9,17.5,13681,11785
Summit,OH,7.4,10.1,23.2,20430,16341
Trumbull,OH,9.5,11.5,17,7615,7302
Tuscarawas,OH,6.3,11.5,17.5,6024,4644
Union,OH,5.4,7.7,18.9,3157,1383
"Van Wert",OH,7.3,-1111.1,17.1,1772,1565
Vinton,OH,9.5,18.4,22,1763,1270
Warren,OH,4.5,7.2,23.8,7697,3463
Washington,OH,5.9,9.7,30.1,3545,3459
Wayne,OH,5.4,8.9,15.7,4823,2797
Williams,OH,6.8,12.5,13.7,2501,1819
Wood,OH,6.7,10,13.2,4038,2809
Wyandot,OH,8.5,12,14.6,2879,2388
Adair,OK,9.4,13.3,27.8,3629,2233
Alfalfa,OK,,-1111.1,26.2,474,812
Atoka,OK,11.7,14.2,33.4,1589,1547
Beaver,OK,3.8,16.1,23.5,587,594
Beckham,OK,8.2,18.5,27.9,2668,2595
Blaine,OK,9.4,13.1,28.1,1416,1660
Bryan,OK,6,14.3,29.1,2504,2187
Caddo,OK,11.8,14,33.8,2124,1876
Canadian,OK,7.8,13.7,22.3,5650,3246
Carter,OK,4.3,14.9,24.7,3293,2918
Cherokee,OK,5.9,11.8,32.3,3029,1951
Choctaw,OK,7.8,17.3,35.3,2105,2126
Cimarron,OK,,-1111.1,24.3,349,415
Cleveland,OK,6.2,10.7,19.6,7680,3971
Coal,OK,5.6,-1111.1,37.4,784,800
Comanche,OK,7.2,13.8,17.9,5660,2607
Cotton,OK,11.1,18,30.1,789,857
Craig,OK,7.8,16.2,29.9,1839,1878
Creek,OK,8.1,16.9,29.2,4441,3578
Custer,OK,3.9,8.7,29,1776,1438
Delaware,OK,5.8,12.7,23.8,2241,2297
Dewey,OK,11.8,-1111.1,27,482,905
Ellis,OK,,-1111.1,27.3,436,582
Garfield,OK,11.4,13.8,25.9,4225,3450
Garvin,OK,8.3,18.5,27.5,1811,1869
Grady,OK,6.8,15.6,32.4,2955,2373
Grant,OK,,-1111.1,20.9,479,772
Greer,OK,3.7,-1111.1,17.7,614,965
Harmon,OK,14,-1111.1,19.7,399,591
Harper,OK,,-1111.1,33.2,344,572
Haskell,OK,9.7,12.9,38,1591,1625
Hughes,OK,10,11.1,24.9,1655,2059
Jackson,OK,6.5,13.4,19.5,2322,1354
Jefferson,OK,4.7,30,30,720,1164
Johnston,OK,7,19,25.5,1261,1371
Kay,OK,8,14.7,30.8,3502,3058
Kingfisher,OK,6.7,15.6,24.2,1813,1516
Kiowa,OK,11.4,10.9,30.7,1260,1745
Latimer,OK,6.2,17,26.5,1242,1305
"Le Flore",OK,8.1,9.3,31.4,3684,2827
Lincoln,OK,7.3,18.3,24.3,1928,1720
Logan,OK,7.2,8.1,18,1944,1591
Love,OK,5.4,14.3,34.8,1043,984
McClain,OK,11.6,15.9,24.1,1897,1307
McCurtain,OK,6.6,19.4,34.6,2564,2124
McIntosh,OK,13.1,21.1,31.6,2179,2734
Major,OK,11.6,18,18.5,756,956
Marshall,OK,13.2,17.4,20.3,1675,1689
Mayes,OK,6.5,17.6,33.7,2621,2117
Murray,OK,8.6,20.6,29.3,1528,1829
Muskogee,OK,6.8,14.4,25.9,4972,4095
Noble,OK,4.6,13.1,31.7,1435,1300
Nowata,OK,7.9,12.1,21.6,1259,1269
Okfuskee,OK,5.4,13.5,35,1422,1541
Oklahoma,OK,8.2,14.6,26.3,34245,19299
Okmulgee,OK,10.2,14.7,22.8,2645,2377
Osage,OK,6,14.4,25.7,2315,1928
Ottawa,OK,6,21.3,30.5,2169,2151
Pawnee,OK,5.9,17.4,30.2,2033,1898
Payne,OK,5.1,10.2,23.8,4154,2638
Pittsburg,OK,9.5,18.2,34.1,2517,2752
Pontotoc,OK,10.2,18.7,23.3,2458,2183
Pottawatomie,OK,9.3,14.7,27,4530,3654
Pushmataha,OK,7.5,22.2,28.6,1348,1652
"Roger Mills",OK,14.5,-1111.1,38.2,377,416
Rogers,OK,5.8,9.4,22,4616,2914
Seminole,OK,13.3,17.8,31,1884,1710
Sequoyah,OK,7.5,16.5,27.1,2787,2052
Stephens,OK,5.8,16,29,2590,2906
Texas,OK,7.6,13.3,21.3,3255,1464
Tillman,OK,12.2,14.1,29.7,1191,1338
Tulsa,OK,7.9,15.8,28.9,27942,15882
Wagoner,OK,10.7,9.8,23.1,3660,1926
Washington,OK,7.5,14.5,20.7,2939,2874
Washita,OK,5.9,9.9,20.8,1307,1514
Woods,OK,11.4,13.6,26.6,875,1329
Woodward,OK,6.6,12.4,17.3,2529,1860
Baker,OR,7.2,24.6,26.8,1705,1955
Benton,OR,4,9.3,16.7,3952,2326
Clackamas,OR,3.5,14.1,21.2,12198,8025
Clatsop,OR,10.8,21.3,26.2,1941,1959
Columbia,OR,4.5,17.8,23.4,2675,1944
Coos,OR,6.1,17.2,28.2,3108,4285
Crook,OR,7.5,13.1,33.9,2214,1826
Curry,OR,4,31.2,25.6,1681,3163
Deschutes,OR,6.2,15.9,16.2,4544,2929
Douglas,OR,9,15.3,33.1,3233,3617
Gilliam,OR,,-1111.1,-1111.1,168,201
Grant,OR,9.6,20.8,19.3,821,884
Harney,OR,5.4,22.8,23.8,831,754
"Hood River",OR,5.7,12.4,20.7,3087,1680
Jackson,OR,6.6,20.9,25.8,6386,5853
Jefferson,OR,9.5,22.7,33.4,3026,1582
Josephine,OR,7.2,19.5,24.1,3876,5016
Klamath,OR,7.4,21.2,27,4062,3390
Lake,OR,13.3,19.5,24.3,757,804
Lane,OR,7.6,16.2,23.3,10832,8671
Lincoln,OR,9.8,21.2,29.9,2140,2761
Linn,OR,5.6,17.5,24,4092,3055
Malheur,OR,8.2,10.7,22.9,2434,1345
Marion,OR,5.7,13.7,18.8,13625,7564
Morrow,OR,7.7,12.2,24.5,1581,771
Multnomah,OR,4.9,13.4,29,27949,17381
Polk,OR,4.9,12.3,18.5,3683,2681
Sherman,OR,,-1111.1,-1111.1,164,192
Tillamook,OR,6.1,17.2,29,2382,2793
Umatilla,OR,4.1,11.6,23.5,5411,3034
Union,OR,5.2,14.1,24.5,1530,1207
Wallowa,OR,8.7,14.7,28.7,633,795
Wasco,OR,6.5,22.6,30,2913,2783
Washington,OR,4.3,11.8,17.9,22703,8204
Wheeler,OR,,-1111.1,-1111.1,120,181
Yamhill,OR,6.2,11.5,20.4,5998,3416
Adams,PA,8.1,10.2,15.5,5200,4317
Allegheny,PA,8,10.8,25.3,40998,45786
Armstrong,PA,7.7,11.7,23.8,3624,4379
Beaver,PA,6.1,11.7,22.9,5410,6479
Bedford,PA,10.7,17.9,23.9,2814,2482
Berks,PA,8,10.8,18.5,14214,10858
Blair,PA,6.2,9.7,32,4323,4930
Bradford,PA,5.7,10.5,18,3702,3261
Bucks,PA,5.4,10.4,21.5,21369,15174
Butler,PA,5.4,11.1,23.8,6272,5292
Cambria,PA,7.8,14.8,29.1,4474,5762
Cameron,PA,5.4,-1111.1,22.3,635,718
Carbon,PA,5.7,13.2,21.5,2995,3762
Centre,PA,6.6,9.8,16.7,3813,2700
Chester,PA,5.8,8,16.5,17771,9822
Clarion,PA,3.5,12.6,20.5,2012,2159
Clearfield,PA,8.3,12.6,17.5,4077,4583
Clinton,PA,6.2,11.1,12.6,2099,2056
Columbia,PA,7.5,10,17.3,3080,3350
Crawford,PA,8.2,9.8,20.8,5360,4833
Cumberland,PA,6.4,8.7,15,6725,6061
Dauphin,PA,6.7,8.8,22,9542,7377
Delaware,PA,6.9,8.9,22,20217,17172
Elk,PA,5.6,11.7,17.6,1773,1895
Erie,PA,8.8,9.6,18.9,10047,8070
Fayette,PA,5.8,12.8,25.3,4519,5498
Forest,PA,21.2,-1111.1,21.2,373,772
Franklin,PA,6,10.1,19.4,4836,3868
Fulton,PA,2.8,14,21.5,1636,1276
Greene,PA,11.9,13.8,16.8,2015,2343
Huntingdon,PA,5,12.3,21,2420,2097
Indiana,PA,8,12.4,23.2,4393,4535
Jefferson,PA,7.4,12.6,16.6,2555,2780
Juniata,PA,6.8,6.2,24.4,2911,2220
Lackawanna,PA,6.8,11.3,26.7,6442,8654
Lancaster,PA,7.8,7.8,19,19996,12837
Lawrence,PA,8.6,12.1,21.8,5117,5926
Lebanon,PA,6.3,10.2,19.1,4313,3827
Lehigh,PA,8,10.4,22.3,11555,9461
Luzerne,PA,7.3,14,25.3,8999,13344
Lycoming,PA,9.4,7.1,15.6,3917,3710
McKean,PA,7.6,13.7,16.3,2498,2750
Mercer,PA,9.3,8.1,26,3865,4221
Mifflin,PA,9.4,11.7,22.7,2963,2586
Monroe,PA,8.6,11.3,17.8,4670,3585
Montgomery,PA,5.3,8.6,19.7,28676,21093
Montour,PA,10.3,13.3,20.4,2182,2274
Northampton,PA,5.8,10.6,15,9005,7777
Northumberland,PA,6.9,11,18.8,4893,5969
Perry,PA,6.5,13.2,21,2608,1920
Philadelphia,PA,10.4,10.7,33.9,64853,50895
Pike,PA,4.3,12.5,19,2103,1916
Potter,PA,5.7,12.8,19.6,2126,1997
Schuylkill,PA,5.3,16.2,22.8,4309,6275
Snyder,PA,9.3,8.4,13.8,2262,1613
Somerset,PA,7.5,10,21.3,3983,4702
Sullivan,PA,,-1111.1,18,523,1048
Susquehanna,PA,7,14.3,23.2,2272,2328
Tioga,PA,5.9,11.4,15.3,2202,2142
Union,PA,5,11.5,11.2,1994,1744
Venango,PA,7,11.6,18.7,3002,3305
Warren,PA,7.1,9.9,23.9,2268,2495
Washington,PA,5.8,11,25.6,6254,7387
Wayne,PA,1.6,12.4,22,2459,2896
Westmoreland,PA,6.3,11.4,23.1,10299,13277
Wyoming,PA,5.2,12.1,26.4,1536,1311
York,PA,5.3,10.8,22.2,14033,9887
Bristol,RI,4.5,6.2,15.1,2470,2606
Kent,RI,5.2,9.2,25.3,5608,5241
Newport,RI,5.1,6.9,11.4,4662,3759
Providence,RI,7.6,7.5,17.3,24958,18303
Washington,RI,6.3,9.5,17.1,3980,2875
Abbeville,SC,11.4,8.1,21.5,3361,2458
Aiken,SC,10.3,14.7,19.9,5520,4293
Allendale,SC,16.7,-1111.1,27.4,1728,1207
Anderson,SC,8.6,15.1,26.2,6628,5351
Bamberg,SC,12.6,10.9,29.8,2140,1750
Barnwell,SC,13,14,30.7,3345,2368
Beaufort,SC,6.8,11.2,19.9,6027,3073
Berkeley,SC,8.6,13.2,18.7,6402,2901
Calhoun,SC,10.4,11.6,26.1,1734,1466
Charleston,SC,10,10.2,22.8,13767,8294
Cherokee,SC,12.4,13.2,25.8,3634,2785
Chester,SC,9.2,10.2,26.2,2288,1696
Chesterfield,SC,8.7,19,27,2869,2129
Clarendon,SC,11.8,10.1,37.8,2117,1655
Colleton,SC,9.8,8.3,24.4,2752,1974
Darlington,SC,12.5,7.2,25.4,4576,3677
Dillon,SC,9,10.8,24.4,2458,1669
Dorchester,SC,8.4,11.7,19.7,6178,3636
Edgefield,SC,11.2,11.5,24.8,2751,2013
Fairfield,SC,9.5,16.3,26,3175,2874
Florence,SC,11.5,7.6,25.4,5715,3875
Georgetown,SC,11.7,7.1,22.8,3838,2747
Greenville,SC,5.5,11.6,27.7,16464,10065
Greenwood,SC,11.5,6.2,23.8,4508,3391
Hampton,SC,8.2,7.3,25.7,2958,1984
Horry,SC,8.6,16.5,28.1,7804,5843
Jasper,SC,8.7,-1111.1,17,2917,1637
Kershaw,SC,6.5,12.8,20.9,3524,2535
Lancaster,SC,10.4,12.5,23.4,4024,2994
Laurens,SC,9.7,10.4,30.5,4109,3645
Lee,SC,17,8.5,18.9,2549,1987
Lexington,SC,7.1,12.8,25.5,9135,5300
McCormick,SC,15.6,10.8,31,876,1126
Marion,SC,15.8,7.7,25.8,2474,1930
Marlboro,SC,10.6,8.4,29.2,1982,1742
Newberry,SC,11.1,9.7,27.5,2428,1997
Oconee,SC,6.4,15.3,29.8,3925,3238
Orangeburg,SC,11.4,7.6,27.3,6416,4767
Pickens,SC,7.5,14.4,23.6,3872,2716
Richland,SC,7.7,8.2,23.5,13059,7701
Saluda,SC,11.9,10.1,26.6,2415,2020
Spartanburg,SC,7.8,11.5,31.4,10293,7721
Sumter,SC,9.7,8.7,10.6,4834,2777
Union,SC,9.3,15.6,23.9,1837,1794
Williamsburg,SC,17.2,-1111.1,26.8,2560,1969
York,SC,7.9,10.6,20.4,7177,4125
Aurora,SD,,-1111.1,28.2,309,437
Beadle,SD,4.6,13.8,14.7,1994,1975
Bennett,SD,3.3,-1111.1,40.5,680,321
"Bon Homme",SD,3.4,-1111.1,12.9,692,863
Brookings,SD,2.5,10.6,22.3,1604,924
Brown,SD,7.4,8.3,19.8,2290,1801
Brule,SD,1.7,18.7,16.3,666,523
Buffalo,SD,19.6,62.1,71.9,437,216
Butte,SD,7.3,22.9,13.4,1226,922
Campbell,SD,,-1111.1,-1111.1,165,156
"Charles Mix",SD,12.3,29,29.1,1647,1088
Clark,SD,,-1111.1,32.4,458,512
Clay,SD,4.9,7.1,19.9,1569,975
Codington,SD,3.4,11.5,20.1,1759,1137
Corson,SD,8.4,26.3,62.6,805,394
Custer,SD,7.1,-1111.1,22.3,645,704
Davison,SD,7.2,11.6,21.4,2479,1926
Day,SD,13.2,-1111.1,28.5,673,1021
Deuel,SD,13.6,-1111.1,20.2,505,509
Dewey,SD,11.4,26.4,34.4,1345,465
Douglas,SD,,-1111.1,26.2,382,440
Edmunds,SD,,-1111.1,-1111.1,461,558
"Fall River",SD,3.2,26.2,32.3,691,1115
Faulk,SD,,-1111.1,-1111.1,286,295
Grant,SD,8.8,-1111.1,17.7,871,966
Gregory,SD,17.8,-1111.1,18.3,437,716
Haakon,SD,,-1111.1,-1111.1,256,256
Hamlin,SD,4,22.3,35.9,827,702
Hand,SD,,-1111.1,21.2,365,455
Hanson,SD,,-1111.1,-1111.1,513,209
Harding,SD,,-1111.1,-1111.1,153,108
Hughes,SD,6.3,22.2,13,2127,1372
Hutchinson,SD,3.7,-1111.1,20.9,904,1289
Hyde,SD,,-1111.1,-1111.1,177,245
Jackson,SD,18.4,-1111.1,-1111.1,541,257
Jerauld,SD,,-1111.1,25.5,215,323
Jones,SD,,-1111.1,-1111.1,121,105
Kingsbury,SD,0,-1111.1,15.5,607,945
Lake,SD,4.8,9.5,15.6,1158,1102
Lawrence,SD,7.2,18.5,19.3,2326,1906
Lincoln,SD,5,7.6,16.4,3428,1539
Lyman,SD,12.8,-1111.1,36.2,698,353
McCook,SD,8.8,-1111.1,31.7,758,798
McPherson,SD,,-1111.1,-1111.1,274,415
Marshall,SD,,-1111.1,-1111.1,423,543
Meade,SD,7.6,18.4,23.6,3995,1665
Mellette,SD,,-1111.1,-1111.1,361,228
Miner,SD,,-1111.1,20.3,284,439
Minnehaha,SD,5.4,16,19.5,7265,3337
Moody,SD,8.8,-1111.1,18.4,757,655
Pennington,SD,8.4,12,19.9,7006,3450
Perkins,SD,,-1111.1,32.1,355,451
Potter,SD,,-1111.1,34.3,259,445
Roberts,SD,8.2,15.9,30.3,1491,1275
Sanborn,SD,,-1111.1,28.8,290,290
Shannon,SD,15.7,26.5,64.7,3374,1149
Spink,SD,2.6,-1111.1,19.1,869,883
Stanley,SD,,-1111.1,-1111.1,331,194
Sully,SD,,-1111.1,-1111.1,160,102
Todd,SD,14.9,32.3,64.9,2538,724
Tripp,SD,15.4,-1111.1,26.4,819,745
Turner,SD,6.3,-1111.1,24.8,891,1174
Union,SD,6.1,-1111.1,11.1,1631,1056
Walworth,SD,5.9,-1111.1,28,751,931
Yankton,SD,7.1,11.8,17.4,2690,1890
Ziebach,SD,16.6,-1111.1,38.1,409,145
Anderson,TN,6.5,14,28.1,3982,4034
Bedford,TN,7.1,18.8,29.2,2949,1911
Benton,TN,8.5,17.6,38.1,1703,2089
Bledsoe,TN,5.3,-1111.1,46.2,1269,1125
Blount,TN,9.3,16.8,29.4,3874,3511
Bradley,TN,7.6,11.6,24.1,5916,4007
Campbell,TN,6.9,12,35,2470,2340
Cannon,TN,8.3,17.7,24.4,1469,1343
Carroll,TN,12.6,16.6,27.4,1832,2164
Carter,TN,9.1,12.1,29.3,2956,3189
Cheatham,TN,4.1,13.5,31.9,2448,1343
Chester,TN,11.1,9.2,25.1,1784,1477
Claiborne,TN,4.5,17.5,27.5,1780,1739
Clay,TN,9.7,12.1,40.1,793,980
Cocke,TN,4.3,15.5,44.5,2085,2038
Coffee,TN,9.2,17.7,32.6,3266,2668
Crockett,TN,8.5,12.7,22.5,1814,1887
Cumberland,TN,4.4,17.5,24.7,2518,2658
Davidson,TN,8.7,13.7,30.3,26453,15495
Decatur,TN,5.1,12.7,20.1,1321,1619
DeKalb,TN,7.4,36.3,34.2,2054,1947
Dickson,TN,5.4,13.3,22,3146,2075
Dyer,TN,12,15,28,2491,2191
Fayette,TN,10.4,11.4,19,2024,1413
Fentress,TN,9.7,9.3,35.5,2066,1969
Franklin,TN,3.4,17.3,19.7,2323,2080
Gibson,TN,13.2,19.4,31.2,3104,3556
Giles,TN,9.7,15.4,26.2,1759,1713
Grainger,TN,5.7,16.3,34.2,2505,2089
Greene,TN,9,12.9,29,3675,3643
Grundy,TN,3.4,19.9,41.9,1984,1655
Hamblen,TN,5.3,12,25.4,4121,3075
Hamilton,TN,10.1,11,20.3,11872,9553
Hancock,TN,7.8,-1111.1,28.1,725,848
Hardeman,TN,15.5,11.7,28,3379,2829
Hardin,TN,10.5,16.4,35.2,2843,3088
Hawkins,TN,7.4,14.6,20,3233,2696
Haywood,TN,12.6,10.8,22.1,2937,2248
Henderson,TN,9.7,17.6,35.6,3393,2971
Henry,TN,11,18.5,36.3,1821,2180
Hickman,TN,6.9,23.5,25.1,2691,2157
Houston,TN,6.5,-1111.1,28.1,1026,977
Humphreys,TN,9.5,19.4,27,2069,1973
Jackson,TN,8.2,25.2,35.8,1096,1395
Jefferson,TN,5.3,8.5,25.5,2656,2170
Johnson,TN,11.1,18.7,31.2,1596,1959
Knox,TN,6.1,12.2,29.2,14567,10953
Lake,TN,7,-1111.1,35.2,810,1022
Lauderdale,TN,11.3,11.1,29.9,3926,2971
Lawrence,TN,5.9,13.9,19.2,2886,2103
Lewis,TN,5.6,15.9,44.3,1366,1218
Lincoln,TN,7.8,14.2,23.8,1923,1880
Loudon,TN,8.6,11.7,33,2429,2219
McMinn,TN,4.6,8,30.8,3049,2677
McNairy,TN,9,16.5,28.6,3207,3119
Macon,TN,8.7,15.3,30.2,2538,2024
Madison,TN,11.4,10.3,25.2,6693,4390
Marion,TN,7.5,-1111.1,31.8,1734,1550
Marshall,TN,8.8,18.1,29.5,1815,1340
Maury,TN,7.2,14.8,24.2,5016,3471
Meigs,TN,7.9,11.4,30.2,1368,980
Monroe,TN,8.6,12.2,23.4,2665,1984
Montgomery,TN,8.7,13.1,22,7010,2581
Moore,TN,,-1111.1,-1111.1,526,514
Morgan,TN,10.9,10.4,29.1,2225,1806
Obion,TN,8.6,10.7,24.2,2099,1921
Overton,TN,4.3,15.2,35.7,2279,2434
Perry,TN,7.1,20,38.7,934,946
Pickett,TN,,25.6,26.5,527,633
Polk,TN,11.5,16.5,21.7,1934,1884
Putnam,TN,7.4,13.6,25.8,4207,3162
Rhea,TN,7.6,12.9,31.4,1981,1471
Roane,TN,6,17.3,33.4,2857,3020
Robertson,TN,4,13.5,25.6,4269,2460
Rutherford,TN,6.4,11.8,20.8,9107,3549
Scott,TN,5.8,14,38.2,2981,2051
Sequatchie,TN,6.2,10.9,27.1,1411,1032
Sevier,TN,7.1,11.4,31.4,4623,3335
Shelby,TN,14,9.9,21.8,42781,23554
Smith,TN,2.6,7,34.6,2132,1908
Stewart,TN,10.2,17.7,29,1408,1397
Sullivan,TN,7.1,12.7,20.6,4899,5457
Sumner,TN,6.6,11.3,27.7,5488,3295
Tipton,TN,12.5,9,31.5,3530,2236
Trousdale,TN,3.7,24.4,41.4,912,850
Unicoi,TN,9.4,12,33.8,1875,2203
Union,TN,4.5,13.9,28.1,2156,1511
"Van Buren",TN,9.6,-1111.1,24.5,578,514
Warren,TN,5,13.7,23.5,2779,1978
Washington,TN,10.8,13.4,20.2,3896,3503
Wayne,TN,8,16.9,27.1,1684,1700
Weakley,TN,8.4,12.2,25.5,1914,1847
White,TN,7.1,16.1,34.6,2819,2774
Williamson,TN,4.2,6.6,19.1,5266,2121
Wilson,TN,5.3,14.6,24.8,6257,3592
Anderson,TX,6.4,17.4,27.1,3298,3018
Andrews,TX,10.7,13.6,19,2094,1093
Angelina,TX,6.4,13,22.5,6401,3955
Aransas,TX,7,18.8,27.1,2362,2560
Archer,TX,8.9,-1111.1,20.3,1005,677
Armstrong,TX,,-1111.1,-1111.1,227,266
Atascosa,TX,8.8,17.1,20.7,3164,1571
Austin,TX,5.7,11.3,19.3,3236,2522
Bailey,TX,7.3,-1111.1,27.7,1207,615
Bandera,TX,7.6,22.2,23.3,1726,1407
Bastrop,TX,5.6,16.4,23.3,4464,2265
Baylor,TX,,-1111.1,20,409,700
Bee,TX,6.7,14.1,21,1938,1123
Bell,TX,7.5,11.5,16.5,16694,4819
Bexar,TX,7,10.3,22.7,73703,30791
Blanco,TX,5.7,23.1,17.3,949,917
Borden,TX,,-1111.1,-1111.1,37,40
Bosque,TX,8.2,14.8,25.2,2013,2641
Bowie,TX,8.2,12.4,22.1,5751,4922
Brazoria,TX,5,13.4,22,12713,5183
Brazos,TX,4.4,8.8,19.7,6781,2343
Brewster,TX,11.4,24.9,40.4,1156,779
Briscoe,TX,,-1111.1,-1111.1,242,225
Brooks,TX,3.1,15,-1111.1,1417,773
Brown,TX,11.2,8.3,30.3,2502,2386
Burleson,TX,6.5,13.5,21.3,2185,1613
Burnet,TX,6.8,13.2,21.1,2364,1920
Caldwell,TX,7.4,14,18.6,2580,1405
Calhoun,TX,3.6,9.9,27.4,3372,1671
Callahan,TX,6.6,18.2,20.1,1347,1409
Cameron,TX,5,6.5,12.7,25617,6178
Camp,TX,3.6,15.6,36,1837,1479
Carson,TX,14.7,-1111.1,19.6,763,646
Cass,TX,11,13.6,20.5,1728,1954
Castro,TX,3.3,-1111.1,34.6,1360,652
Chambers,TX,6.5,10.4,26.4,3061,1763
Cherokee,TX,7.4,18.8,24.1,3640,2674
Childress,TX,7.5,20.2,27.4,891,944
Clay,TX,9.2,-1111.1,14.7,961,1074
Cochran,TX,,-1111.1,28.2,551,381
Coke,TX,,-1111.1,22.6,325,607
Coleman,TX,12,15.5,34.5,1106,1595
Collin,TX,4,7.5,19,29125,6159
Collingsworth,TX,,-1111.1,-1111.1,392,497
Colorado,TX,8.6,11.7,26.6,2564,2615
Comal,TX,5.9,9.3,24.8,5578,3462
Comanche,TX,4.8,14.7,19.7,1606,2009
Concho,TX,,-1111.1,22.7,251,361
Cooke,TX,8.4,11.3,26,2506,1930
Coryell,TX,7.8,11.1,17,4850,1672
