County,State,Infant_Mortality,Suicide,Injury,Total_Births,Total_Deaths
"Presque Isle",MI,17.7,12.7,21.1,1313,1817
Roscommon,MI,9.2,14.9,19.8,2090,3496
Saginaw,MI,9.3,9.4,19.8,8065,6205
"St. Clair",MI,7,11,13.9,6174,4424
"St. Joseph",MI,7.4,11.9,21.5,4613,2921
Sanilac,MI,6.3,10.8,19.3,2716,2323
Schoolcraft,MI,9.9,18,23.2,916,1141
Shiawassee,MI,6.6,11,18.3,4513,3130
Tuscola,MI,7.5,13.6,18.9,3447,2631
"Van Buren",MI,6.2,12.3,27.8,5132,3376
Washtenaw,MI,6.7,7.7,14.9,12621,5567
Wayne,MI,11.2,10.3,20.4,88716,59647
Wexford,MI,7.6,11.9,23,1969,1518
Aitkin,MN,6.3,12.5,28,1408,1824
Anoka,MN,3.9,8.9,28.3,12928,4331
Becker,MN,7.8,12.3,26.8,1915,1613
Beltrami,MN,7.1,14.1,20.5,2952,1661
Benton,MN,5.1,8.4,21.4,2762,1541
"Big Stone",MN,,-1111.1,12,546,961
"Blue Earth",MN,3.8,8.6,13.8,3394,2191
Brown,MN,4.2,-1111.1,14.1,1426,1382
Carlton,MN,7,16,19.6,1846,1578
Carver,MN,3.5,6.4,13.9,5764,1508
Cass,MN,6.5,15.8,31.7,1545,1493
Chippewa,MN,7.1,8.1,20.9,1432,1574
Chisago,MN,4.1,12.6,23.1,3389,1548
Clay,MN,7.3,12.4,18.8,3172,2031
Clearwater,MN,8.9,22.6,31.4,997,1094
Cook,MN,,-1111.1,21.4,463,422
Cottonwood,MN,5.7,-1111.1,19.9,1369,1611
"Crow Wing",MN,4.8,12.8,24.9,3512,2614
Dakota,MN,4.9,8.7,19.8,15864,5143
Dodge,MN,4.4,11.4,26.4,2521,1279
Douglas,MN,4.4,8.4,16.8,1803,1663
Faribault,MN,5.6,11.3,18,1589,2159
Fillmore,MN,6.7,9.9,19.7,2457,2560
Freeborn,MN,6.1,11.3,18.3,1961,1893
Goodhue,MN,4.2,12.2,34.8,2628,2255
Grant,MN,0,-1111.1,32,624,890
Hennepin,MN,5.3,8.5,26.6,49101,23700
Houston,MN,6.8,7.8,24.3,2132,1841
Hubbard,MN,6,12.9,24.1,1836,1821
Isanti,MN,5.9,13.9,22,2035,1162
Itasca,MN,8.3,14.5,25.2,2287,2347
Jackson,MN,1.9,12.6,18.5,1147,1310
Kanabec,MN,5.5,10,38.6,1624,1276
Kandiyohi,MN,3.4,8.1,20.6,2677,1839
Kittson,MN,,-1111.1,16.6,535,795
Koochiching,MN,9.3,9.9,26,1452,1632
"Lac qui Parle",MN,1.5,-1111.1,27.8,752,1183
Lake,MN,7.6,-1111.1,19.4,1012,1290
"Lake of the Woods",MN,,-1111.1,21.2,396,437
"Le Sueur",MN,3.5,13.5,22.8,3171,2182
Lincoln,MN,1.7,-1111.1,28.6,673,1040
Lyon,MN,6.4,10.2,23,3360,2345
McLeod,MN,8.1,6.2,17.1,2478,1487
Mahnomen,MN,7,-1111.1,20.9,788,571
Marshall,MN,8.9,-1111.1,34.5,1124,1083
Martin,MN,3.9,5.2,22,2330,2554
Meeker,MN,2.7,11.5,19.2,2801,2269
"Mille Lacs",MN,5.7,8,30.1,2711,2447
Morrison,MN,7.9,15.3,18.8,2037,1502
Mower,MN,4.6,12,18.9,2610,2083
Murray,MN,6,-1111.1,17.1,925,1017
Nicollet,MN,1.6,7.6,12.7,1867,895
Nobles,MN,4.1,7.9,17,2973,1986
Norman,MN,4.1,-1111.1,13.1,831,1089
Olmsted,MN,6,8,21.6,5960,2356
"Otter Tail",MN,4.8,14.6,23.1,2938,3291
Pennington,MN,6.4,12,25,1714,1486
Pine,MN,6.6,12.4,28.5,2865,2387
Pipestone,MN,6.8,-1111.1,12.3,1133,1299
Polk,MN,3.3,13.6,18.7,1801,1879
Pope,MN,4.1,7.1,16.3,1089,1535
Ramsey,MN,5.6,9.1,22.8,22222,11712
"Red Lake",MN,11.6,-1111.1,19.4,480,509
Redwood,MN,4.5,13.2,18.5,1991,2131
Renville,MN,5.5,7.4,24.2,2013,2201
Rice,MN,6.3,9.9,21.7,3471,2156
Rock,MN,8.6,11.9,11.7,1181,1200
Roseau,MN,6.2,13.3,22,2345,1385
"St. Louis",MN,5.2,13.4,27.9,6155,6609
Scott,MN,2.8,9.6,19.8,8986,2024
Sherburne,MN,4.2,13.7,22.6,5704,1861
Sibley,MN,4.7,6.5,18,1876,1491
Stearns,MN,5.8,8.7,20.6,5340,2307
Steele,MN,5.9,7.3,17.2,2380,1430
Stevens,MN,10.9,-1111.1,21.2,1007,930
Swift,MN,2.7,10.5,18.2,1232,1325
Todd,MN,6,10,20.4,2785,2312
Traverse,MN,,-1111.1,-1111.1,423,605
Wabasha,MN,8.7,6.7,23.5,2471,1949
Wadena,MN,3.4,13.2,23,1632,1862
Waseca,MN,4.6,-1111.1,22.7,2392,1720
Washington,MN,5.1,8.3,15.8,8599,3155
Watonwan,MN,6.1,-1111.1,13.5,1646,1264
Wilkin,MN,10.4,17,14.9,867,766
Winona,MN,6.5,8.4,15.1,2625,2082
Wright,MN,4,7.6,23.8,7932,2736
"Yellow Medicine",MN,7.1,10.1,19.1,1259,1380
Adams,MS,10.1,12.2,30.2,2272,2104
Alcorn,MS,7.9,10.4,31.8,2276,2140
Amite,MS,7.6,11.4,22.8,1599,1411
Attala,MS,12.2,12.7,29.7,2604,2613
Benton,MS,13.2,-1111.1,35.6,1164,949
Bolivar,MS,12.5,7.4,19.1,3192,2140
Calhoun,MS,8.8,11,30,2044,1833
Carroll,MS,12.9,10.1,21,1029,930
Chickasaw,MS,10,8.3,28.6,3145,2000
Choctaw,MS,8.8,10.4,22.5,1143,960
Claiborne,MS,15.5,-1111.1,16.9,1727,1115
Clarke,MS,7.5,10.6,18.2,2367,1890
Clay,MS,12,9.3,24.8,3328,2299
Coahoma,MS,17,12,31.5,2827,1783
Copiah,MS,15.9,-1111.1,23.9,2136,1452
Covington,MS,13,10.9,30.4,2995,2074
DeSoto,MS,8.1,13.4,20.1,8850,4121
Forrest,MS,7.8,9.2,27.5,5392,3676
Franklin,MS,9.8,19.9,19.2,1133,978
George,MS,10.4,13.7,24.2,3317,1815
Greene,MS,7.2,7.6,14.5,1526,1090
Grenada,MS,10.8,11.5,27.4,3101,2876
Hancock,MS,7.7,20.3,39.8,2721,2261
Harrison,MS,8.8,18.1,36.2,8709,5319
Hinds,MS,12.5,9.7,17.4,11627,6266
Holmes,MS,13.8,7.9,33.3,3907,2565
Humphreys,MS,13.3,-1111.1,29.7,1996,1276
Issaquena,MS,,-1111.1,-1111.1,220,147
Itawamba,MS,7.9,13.3,31.4,2699,2623
Jackson,MS,7.7,16.8,43.2,5470,3513
Jasper,MS,8.5,13.4,29.9,2736,1871
Jefferson,MS,13.6,11.3,18.4,1400,946
"Jefferson Davis",MS,11.5,13.7,22.9,1971,1581
Jones,MS,8.6,7.7,30.2,4988,3490
Kemper,MS,11.5,14.4,24.7,1365,1065
Lafayette,MS,11.9,9.7,32.6,2265,1486
Lamar,MS,9.3,11.5,19.7,3119,1477
Lauderdale,MS,11.2,10.3,23.6,5897,4817
Lawrence,MS,9.1,7.7,26.7,1828,1404
Leake,MS,13.2,11.4,26.3,3343,2436
Lee,MS,9.9,12.2,35.5,6087,3668
Leflore,MS,15.5,10.5,21.5,3027,2077
Lincoln,MS,7,12,20.6,2295,2030
Lowndes,MS,11.4,11.8,20.6,4641,2592
Madison,MS,9.7,8.6,15.9,6088,4225
Marion,MS,4.8,9.1,32.5,1860,1659
Marshall,MS,14.6,7,31.3,2601,1780
Monroe,MS,10.9,8.5,24.6,2483,1977
Montgomery,MS,18.5,17.4,21.8,1678,1483
Neshoba,MS,9,-1111.1,19,2439,1575
Newton,MS,13.1,15,23.1,3281,2503
Noxubee,MS,22.6,-1111.1,29.5,2165,1285
Oktibbeha,MS,8.4,7.7,31.7,2728,1403
Panola,MS,9.5,10.8,29.1,2856,1750
"Pearl River",MS,6.3,9.7,30.7,3347,2365
Perry,MS,4.8,-1111.1,19,1825,1169
Pike,MS,7.5,12.2,21.6,3209,2219
Pontotoc,MS,6.4,12.9,33,3634,2460
Prentiss,MS,10.3,14.8,24.6,3222,2307
Quitman,MS,8.5,-1111.1,32.1,1713,1187
Rankin,MS,8.6,11.9,23.6,5320,2482
Scott,MS,15.1,10.7,27.7,2250,1411
Sharkey,MS,4.9,-1111.1,28.2,1159,718
Simpson,MS,13.2,18.6,34.4,1974,1544
Smith,MS,9.7,11.3,17.9,2069,1663
Stone,MS,10.3,16.2,30.3,1940,1442
