County,State,Number_Counties,Population_Size,Population_Density,Poverty,White,Black,Native_American,Asian,Hispanic
Lawrence,MS,34,13502,31,17.5,67.5,31.8,0.1,0.5,0.8
Leake,MS,38,22453,39,19.9,55.8,38.9,4.6,0.3,2.9
Lee,MS,32,78793,175,14.1,72.7,25.8,0.2,0.6,1.3
Leflore,MS,40,36431,62,29.4,28.5,70.6,0.1,0.6,2.2
Lincoln,MS,40,33906,58,17.7,69.1,30.2,0.2,0.4,0.7
Lowndes,MS,54,59895,119,19.2,55.3,42.9,0.2,0.7,1.1
Madison,MS,37,84286,118,13.2,59.8,38,0.1,1.6,1.3
Marion,MS,40,25235,47,21.7,66.7,32.4,0.2,0.3,0.7
Marshall,MS,40,35659,50,19.1,49.6,49.6,0.2,0.1,1.5
Monroe,MS,41,37704,49,16.3,68.4,31,0.1,0.2,0.9
Montgomery,MS,38,11829,29,20.8,53.7,45.8,0.1,0.3,0.9
Neshoba,MS,40,29905,52,18.6,63.6,20.5,14.4,0.4,1.5
Newton,MS,32,22366,39,16.9,65.2,30.1,4.3,0.2,1.2
Noxubee,MS,37,12202,18,26.8,28.9,70.4,0.3,0.1,1.4
Oktibbeha,MS,27,41247,90,21.4,60.2,36.2,0.2,2.8,1.1
Panola,MS,40,35331,52,20.9,51.4,48,0.1,0.2,1.4
"Pearl River",MS,40,52659,65,18.1,85.8,12.3,0.5,0.4,1.6
Perry,MS,37,12160,19,18.3,76,23.2,0.3,0.2,1.2
Pike,MS,27,39426,96,22.8,49.6,49.4,0.2,0.5,0.7
Pontotoc,MS,51,28208,57,13.2,84.7,14.6,0.3,0.1,2.8
Prentiss,MS,47,25593,62,15.2,85.1,14,0.2,0.2,0.7
Quitman,MS,38,9512,23,27.3,30.5,69,0.1,0.2,0.6
Rankin,MS,57,131841,170,10.4,79.8,18.6,0.2,0.9,1.7
Scott,MS,33,28739,47,16,59.9,38.7,0.5,0.3,6.7
Sharkey,MS,37,5967,14,29.4,29.8,69.5,0.1,0.4,1.5
Simpson,MS,33,27944,47,19.7,64.6,34.7,0.1,0.2,1.5
Smith,MS,31,16058,25,16.4,76.4,23.2,0.1,0.2,0.8
Stone,MS,34,14862,33,17.3,79.1,20,0.3,0.2,1.5
Sunflower,MS,40,32311,47,30.3,26.9,72.3,0.2,0.4,1.7
Tallahatchie,MS,31,14191,22,25.6,38.8,60.5,0.1,0.4,1
Tate,MS,53,26548,66,15,68.8,30.5,0.2,0.2,1.3
Tippah,MS,30,21212,46,15.7,82,17,0.3,0.1,3.2
Tishomingo,MS,41,19202,45,13.9,95.9,3.6,0.1,0.1,2.5
Tunica,MS,37,10321,23,22.4,25.8,73.4,0.1,0.4,2.5
Union,MS,48,26784,64,12.8,83.8,15.1,0.2,0.3,2.5
Walthall,MS,45,15460,38,22.3,55.1,44.3,0.1,0.2,1.2
Warren,MS,41,49131,84,17.6,52.5,46,0.2,0.7,1.2
Washington,MS,54,59220,82,28.4,31.7,67.2,0.1,0.7,1.1
Wayne,MS,31,21291,26,20.6,61.4,38.2,0.1,0.2,0.7
Webster,MS,33,10092,24,18.4,79.8,19.8,0.2,0.2,1.9
Wilkinson,MS,37,10269,15,27.9,29.8,69.9,0.1,0,0.4
Winston,MS,38,19870,33,20,54.7,44.2,0.8,0.1,1.6
Yalobusha,MS,38,13417,29,19,60.2,39.2,0.2,0.2,1
Yazoo,MS,33,28195,31,27,44.2,54.9,0.2,0.4,5.2
Adair,MO,47,24509,43,15.9,95.8,1.4,0.3,1.8,1.7
Andrew,MO,42,16899,39,8.3,98.5,0.6,0.4,0.3,1.2
Atchison,MO,32,6246,11,11,97.3,2.1,0.2,0.3,0.8
Audrain,MO,62,25759,37,13.6,90.8,7.7,0.3,0.4,1
Barry,MO,35,35599,46,14.9,96.8,0.3,0.9,0.8,6.9
Barton,MO,62,13057,22,12.8,97.2,0.4,0.8,0.4,1.1
Bates,MO,32,17027,20,13,97.6,0.8,0.5,0.3,1.4
Benton,MO,32,18854,27,14.6,98.4,0.1,0.5,0.1,1.1
Bollinger,MO,57,12325,20,13.3,98.2,0.3,0.6,0.2,0.5
Boone,MO,40,143326,209,11.7,85.9,8.6,0.4,3.2,2.1
Buchanan,MO,35,84904,207,12.3,93.2,4.5,0.5,0.6,2.5
Butler,MO,27,41338,59,17,92.6,5.1,0.6,0.7,1.3
Caldwell,MO,32,9307,22,11.9,99,0.2,0.2,0.2,0.9
Callaway,MO,39,42541,51,9.8,92.9,4.9,0.5,0.8,1.1
Camden,MO,57,39432,60,11.7,98,0.4,0.3,0.4,1.4
"Cape Girardeau",MO,37,71161,123,11.2,91.6,5.9,0.4,1,1.1
